Epoch[1] Iteration[180/214], loss: 3.8421, nitc_loss: 4.0594, ritc_loss: -0.2172, Base Lr: 4.25e-05
Epoch[1] Iteration[181/214], loss: 3.8810, nitc_loss: 4.0971, ritc_loss: -0.2162, Base Lr: 4.27e-05
Epoch[1] Iteration[182/214], loss: 3.8149, nitc_loss: 4.0303, ritc_loss: -0.2155, Base Lr: 4.30e-05
Epoch[1] Iteration[183/214], loss: 3.8975, nitc_loss: 4.1253, ritc_loss: -0.2278, Base Lr: 4.32e-05
Epoch[1] Iteration[184/214], loss: 3.8424, nitc_loss: 4.0984, ritc_loss: -0.2559, Base Lr: 4.34e-05
Epoch[1] Iteration[185/214], loss: 3.9401, nitc_loss: 4.2008, ritc_loss: -0.2607, Base Lr: 4.37e-05
Epoch[1] Iteration[186/214], loss: 3.8925, nitc_loss: 4.1686, ritc_loss: -0.2761, Base Lr: 4.39e-05
Epoch[1] Iteration[187/214], loss: 3.8806, nitc_loss: 4.1119, ritc_loss: -0.2313, Base Lr: 4.41e-05
Epoch[1] Iteration[188/214], loss: 3.8934, nitc_loss: 4.1187, ritc_loss: -0.2253, Base Lr: 4.44e-05
Epoch[1] Iteration[189/214], loss: 3.7994, nitc_loss: 4.0634, ritc_loss: -0.2639, Base Lr: 4.46e-05
Epoch[1] Iteration[190/214], loss: 3.8826, nitc_loss: 4.1155, ritc_loss: -0.2329, Base Lr: 4.48e-05
Epoch[1] Iteration[191/214], loss: 3.9454, nitc_loss: 4.1662, ritc_loss: -0.2208, Base Lr: 4.51e-05
Epoch[1] Iteration[192/214], loss: 3.9140, nitc_loss: 4.1423, ritc_loss: -0.2283, Base Lr: 4.53e-05
Epoch[1] Iteration[193/214], loss: 3.8640, nitc_loss: 4.1092, ritc_loss: -0.2452, Base Lr: 4.55e-05
Epoch[1] Iteration[194/214], loss: 3.8626, nitc_loss: 4.1179, ritc_loss: -0.2553, Base Lr: 4.57e-05
Epoch[1] Iteration[195/214], loss: 3.8503, nitc_loss: 4.1192, ritc_loss: -0.2689, Base Lr: 4.60e-05
Epoch[1] Iteration[196/214], loss: 3.9741, nitc_loss: 4.2392, ritc_loss: -0.2651, Base Lr: 4.62e-05
Epoch[1] Iteration[197/214], loss: 4.0135, nitc_loss: 4.2718, ritc_loss: -0.2583, Base Lr: 4.64e-05
Epoch[1] Iteration[198/214], loss: 3.9039, nitc_loss: 4.1511, ritc_loss: -0.2472, Base Lr: 4.67e-05
Epoch[1] Iteration[199/214], loss: 3.9052, nitc_loss: 4.1665, ritc_loss: -0.2613, Base Lr: 4.69e-05
Epoch[1] Iteration[200/214], loss: 3.9674, nitc_loss: 4.2407, ritc_loss: -0.2733, Base Lr: 4.71e-05
Epoch[1] Iteration[201/214], loss: 3.9161, nitc_loss: 4.1733, ritc_loss: -0.2572, Base Lr: 4.74e-05
Epoch[1] Iteration[202/214], loss: 3.8252, nitc_loss: 4.0832, ritc_loss: -0.2580, Base Lr: 4.76e-05
Epoch[1] Iteration[203/214], loss: 3.9239, nitc_loss: 4.1584, ritc_loss: -0.2344, Base Lr: 4.78e-05
