Epoch[1] Iteration[149/1608], loss: 3.4368, nitc_loss: 2.0879, ritc_loss: 1.3489, Base Lr: 5.56e-06
Epoch[1] Iteration[150/1608], loss: 3.0718, nitc_loss: 1.8400, ritc_loss: 1.2318, Base Lr: 5.59e-06
Epoch[1] Iteration[151/1608], loss: 3.3509, nitc_loss: 2.0034, ritc_loss: 1.3475, Base Lr: 5.62e-06
Epoch[1] Iteration[152/1608], loss: 3.0681, nitc_loss: 1.8933, ritc_loss: 1.1748, Base Lr: 5.65e-06
Epoch[1] Iteration[153/1608], loss: 3.0506, nitc_loss: 1.9029, ritc_loss: 1.1477, Base Lr: 5.68e-06
Epoch[1] Iteration[154/1608], loss: 3.3590, nitc_loss: 2.0854, ritc_loss: 1.2736, Base Lr: 5.71e-06
Epoch[1] Iteration[155/1608], loss: 3.4554, nitc_loss: 2.0632, ritc_loss: 1.3922, Base Lr: 5.74e-06
Epoch[1] Iteration[156/1608], loss: 3.2969, nitc_loss: 1.9633, ritc_loss: 1.3335, Base Lr: 5.77e-06
Epoch[1] Iteration[157/1608], loss: 3.0766, nitc_loss: 1.8554, ritc_loss: 1.2212, Base Lr: 5.80e-06
Epoch[1] Iteration[158/1608], loss: 3.4848, nitc_loss: 2.1688, ritc_loss: 1.3161, Base Lr: 5.83e-06
Epoch[1] Iteration[159/1608], loss: 3.1425, nitc_loss: 1.9496, ritc_loss: 1.1929, Base Lr: 5.87e-06
Epoch[1] Iteration[160/1608], loss: 3.3308, nitc_loss: 2.0065, ritc_loss: 1.3243, Base Lr: 5.90e-06
Epoch[1] Iteration[161/1608], loss: 2.9986, nitc_loss: 1.8286, ritc_loss: 1.1700, Base Lr: 5.93e-06
Epoch[1] Iteration[162/1608], loss: 3.5974, nitc_loss: 2.2701, ritc_loss: 1.3274, Base Lr: 5.96e-06
Epoch[1] Iteration[163/1608], loss: 3.3948, nitc_loss: 2.1600, ritc_loss: 1.2348, Base Lr: 5.99e-06
Epoch[1] Iteration[164/1608], loss: 3.3133, nitc_loss: 1.9623, ritc_loss: 1.3509, Base Lr: 6.02e-06
Epoch[1] Iteration[165/1608], loss: 3.0029, nitc_loss: 1.7681, ritc_loss: 1.2348, Base Lr: 6.05e-06
